Code,Taxon,Specimen,NewLabel
PH135,Pheidole.hercules,CASENT0283830,Pheidole_hercules_CASENT0283830
PH1359,Pheidole.CAM01,CASENT0738946,Pheidole_CAM01_CASENT0738946
PH136,Pheidole.epem116,CASENT0199394,Pheidole_epem116_CASENT0199394
PH138,Pheidole.epem079,CASENT0199455,Pheidole_epem079_CASENT0199455
PH139,Pheidole.epem067,CASENT0199481,Pheidole_epem067_CASENT0199481
PH141,Pheidole.amber,CASENT0199489,Pheidole_amber_CASENT0199489
PH142,Pheidole.gambogia,CASENT0199451,Pheidole_gambogia_CASENT0199451
PH143,Pheidole.epem049,CASENT0199446,Pheidole_epem049_CASENT0199446
PH148,Pheidole.epem060,CASENT0199477,Pheidole_epem060_CASENT0199477
PH150,Pheidole.epem058,CASENT0199530,Pheidole_epem058_CASENT0199530
PH153,Pheidole.epem170,CASENT0283797,Pheidole_epem170_CASENT0283797
PH160,Pheidole.epem166,CASENT0283791,Pheidole_epem166_CASENT0283791
PH162,Pheidole.epem165,CASENT0283796,Pheidole_epem165_CASENT0283796
PH163,Pheidole.xanthocnemis,CASENT0283725,Pheidole_xanthocnemis_CASENT0283725
PH168,Pheidole.epem172,CASENT0283799,Pheidole_epem172_CASENT0283799
PH171,Pheidole.epem169,CASENT0283728,Pheidole_epem169_CASENT0283728
PH173,Pheidole.epem179,CASENT0282451,Pheidole_epem179_CASENT0282451
PH174,Pheidole.rugithorax,CASENT0283827,Pheidole_rugithorax_CASENT0283827
PH184,Pheidole.epem201,CASENT0339815,Pheidole_epem201_CASENT0339815
PH186,Pheidole.tjibodana,CASENT0283800,Pheidole_tjibodana_CASENT0283800
PH188,Pheidole.soritis,CASENT0283804,Pheidole_soritis_CASENT0283804
PH189,Pheidole.epem167,CASENT0283079,Pheidole_epem167_CASENT0283079
PH2,Pheidole.epem127,CASENT0339820,Pheidole_epem127_CASENT0339820
PH205,Pheidole.epem100,CASENT0283047,Pheidole_epem100_CASENT0283047
PH206,Pheidole.mendanai,CASENT0283049,Pheidole_mendanai_CASENT0283049
PH207,Pheidole.nindi,CASENT0283055,Pheidole_nindi_CASENT0283055
PH21,Pheidole.epem005,CASENT0199354,Pheidole_epem005_CASENT0199354
PH210,Pheidole.isis.taki,CASENT0339812,Pheidole_isis_taki_CASENT0339812
PH220,Pheidole.epem057,CASENT0339791,Pheidole_epem057_CASENT0339791
PH221,Pheidole.epem123,CASENT0339793,Pheidole_epem123_CASENT0339793
PH222,Pheidole.epem111,CASENT0339795,Pheidole_epem111_CASENT0339795
PH225,Pheidole.epem163,CASENT0339801,Pheidole_epem163_CASENT0339801
PH227,Pheidole.epem118,CASENT0339805,Pheidole_epem118_CASENT0339805
PH228,Pheidole.emsm101,CASENT0339807,Pheidole_emsm101_CASENT0339807
PH229,Pheidole.epem129,CASENT0339788,Pheidole_epem129_CASENT0339788
PH23,Pheidole.sexspinosa,CASENT0199371,Pheidole_sexspinosa_CASENT0199371
PH234,Pheidole.epem112,CASENT0339798,Pheidole_epem112_CASENT0339798
PH238,Pheidole.megacephala,CASENT0283042,Pheidole_megacephala_CASENT0283042
PH24,Pheidole.parva,CASENT0199389,Pheidole_parva_CASENT0199389
PH244,Pheidole.oceanica,CASENT0283054,Pheidole_oceanica_CASENT0283054
PH246,Pheidole.cryptocera,CASENT0283058,Pheidole_cryptocera_CASENT0283058
PH251,Pheidole.umbonata,CASENT0283086,Pheidole_umbonata_CASENT0283086
PH266,Pheidole.epem068,CASENT0283616,Pheidole_epem068_CASENT0283616
PH271,Pheidole.epem119,CASENT0283099,Pheidole_epem119_CASENT0283099
PH280,Pheidole.cervicornis,CASENT0283187,Pheidole_cervicornis_CASENT0283187
PH283,Pheidole.tricolor,CASENT0283059,Pheidole_tricolor_CASENT0283059
PH290,Pheidole.viserion,CASENT0283093,Pheidole_viserion_CASENT0283093
PH291,Pheidole.epem124,CASENT0283837,Pheidole_epem124_CASENT0283837
PH299,Pheidole.epem142,CASENT0283179,Pheidole_epem142_CASENT0283179
PH31,Pheidole.epem010,CASENT0283701,Pheidole_epem010_CASENT0283701
PH35,Pheidole.emsm107,CASENT0282492,Pheidole_emsm107_CASENT0282492
PH4,Pheidole.epem115,CASENT0282485,Pheidole_epem115_CASENT0282485
PH40,Pheidole.epem027,CASENT0199310,Pheidole_epem027_CASENT0199310
PH402,Pheidole.au02,CASENT0282621,Pheidole_au02_CASENT0282621
PH403,Pheidole.epem093,CASENT0283189,Pheidole_epem093_CASENT0283189
PH404,Pheidole.au04,CASENT0283190,Pheidole_au04_CASENT0283190
PH408,Pheidole.bula,CASENT0339811,Pheidole_bula_CASENT0339811
PH409,Pheidole.colaensis,CASENT0339806,Pheidole_colaensis_CASENT0339806
PH414,Pheidole.kava,CASENT0283041,Pheidole_kava_CASENT0283041
PH419,Pheidole.ululevu,CASENT0283177,Pheidole_ululevu_CASENT0283177
PH42,Pheidole.epem022,CASENT0199325,Pheidole_epem022_CASENT0199325
PH421,Pheidole.furcata,CASENT0283146,Pheidole_furcata_CASENT0283146
PH422,Pheidole.hyatti,CASENT0283215,Pheidole_hyatti_CASENT0283215
PH424,Pheidole.knowlesi,CASENT0283124,Pheidole_knowlesi_CASENT0283124
PH429,Pheidole.nc02,CASENT0283182,Pheidole_nc02_CASENT0283182
PH432,Pheidole.onifera,CASENT0283163,Pheidole_onifera_CASENT0283163
PH433,Pheidole.pegasus,CASENT0283142,Pheidole_pegasus_CASENT0283142
PH434,Pheidole.pg01,CASENT0283165,Pheidole_pg01_CASENT0283165
PH435,Pheidole.pg02,CASENT0283167,Pheidole_pg02_CASENT0283167
PH436,Pheidole.pg03,CASENT0283168,Pheidole_pg03_CASENT0283168
PH44,Pheidole.sexspinosa.biroi,CASENT0199306,Pheidole_sexspinosa_biroi_CASENT0199306
PH444,Pheidole.roosevelti,CASENT0283120,Pheidole_roosevelti_CASENT0283120
PH452,Pheidole.simplispinosa,CASENT0283131,Pheidole_simplispinosa_CASENT0283131
PH458,Pheidole.uncagena,CASENT0283143,Pheidole_uncagena_CASENT0283143
PH459,Pheidole.vatu,CASENT0283101,Pheidole_vatu_CASENT0283101
PH46,Pheidole.epem024,CASENT0199540,Pheidole_epem024_CASENT0199540
PH466,Pheidole.wilsoni,CASENT0283162,Pheidole_wilsoni_CASENT0283162
PH467,Pheidole.comata,CASENT0283209,Pheidole_comata_CASENT0283209
PH468,Pheidole.dugasi,CASENT0283203,Pheidole_dugasi_CASENT0283203
PH469,Pheidole.gatesi,CASENT0283204,Pheidole_gatesi_CASENT0283204
PH47,Pheidole.fuscula,CASENT0199529,Pheidole_fuscula_CASENT0199529
PH470,Pheidole.nodus,CASENT0283210,Pheidole_nodus_CASENT0283210
PH471,Pheidole.pallidula,CASENT0283201,Pheidole_pallidula_CASENT0283201
PH472,Pheidole.plagiaria,CASENT0283212,Pheidole_plagiaria_CASENT0283212
PH473,Pheidole.quadrensis,CASENT0283205,Pheidole_quadrensis_CASENT0283205
PH474,Pheidole.quadricuspis,CASENT0283211,Pheidole_quadricuspis_CASENT0283211
PH475,Pheidole.epem121,CASENT0283206,Pheidole_epem121_CASENT0283206
PH476,Pheidole.jacobsoni,CASENT0283213,Pheidole_jacobsoni_CASENT0283213
PH477,Pheidole.emsm171,CASENT0283200,Pheidole_emsm171_CASENT0283200
PH479,Pheidole.grallatrix,CASENT0048223,Pheidole_grallatrix_CASENT0048223
PH480,Pheidole.lucioccipitalis,CASENT0283208,Pheidole_lucioccipitalis_CASENT0283208
PH49,Pheidole.epem085,CASENT0199482,Pheidole_epem085_CASENT0199482
PH507,Pheidole.pugnax,CASENT0283558,Pheidole_pugnax_CASENT0283558
PH508,Pheidole.epem192,CASENT0283557,Pheidole_epem192_CASENT0283557
PH509,Pheidole.epem193,CASENT0283198,Pheidole_epem193_CASENT0283198
PH510,Pheidole.epem195,CASENT0283117,Pheidole_epem195_CASENT0283117
PH511,Pheidole.epem187,CASENT0283118,Pheidole_epem187_CASENT0283118
PH512,Pheidole.epem185,CASENT0283114,Pheidole_epem185_CASENT0283114
PH518,Pheidole.texticeps,CASENT0283526,Pheidole_texticeps_CASENT0283526
PH519,Pheidole.purpurea,CASENT0283153,Pheidole_purpurea_CASENT0283153
PH520,Pheidole.protensa,CASENT0282721,Pheidole_protensa_CASENT0282721
PH524,Pheidole.epem188,CASENT0283481,Pheidole_epem188_CASENT0283481
PH527,Pheidole.simonsi,CASENT0283070,Pheidole_simonsi_CASENT0283070
PH53,Pheidole.fervens,CASENT0282493,Pheidole_fervens_CASENT0282493
PH531,Pheidole.epem151,CASENT0714694,Pheidole_epem151_CASENT0714694
PH532,Pheidole.epem153,CASENT0714693,Pheidole_epem153_CASENT0714693
PH535,Pheidole.epem156,CASENT0283772,Pheidole_epem156_CASENT0283772
PH536,Pheidole.epem154,CASENT0283774,Pheidole_epem154_CASENT0283774
PH539,Pheidole.epem164,CASENT0283767,Pheidole_epem164_CASENT0283767
PH54,Pheidole.epem103,CASENT0199636,Pheidole_epem103_CASENT0199636
PH544,Pheidole.epem155,CASENT0283870,Pheidole_epem155_CASENT0283870
PH554,Pheidole.epem157,CASENT0283843,Pheidole_epem157_CASENT0283843
PH556,Pheidole.epem150,CASENT0283918,Pheidole_epem150_CASENT0283918
PH561,Pheidole.epem152,CASENT0283902,Pheidole_epem152_CASENT0283902
PH564,Pheidole.epem158,CASENT0283913,Pheidole_epem158_CASENT0283913
PH569,Pheidole.multispina,CASENT0283529,Pheidole_multispina_CASENT0283529
PH57,Pheidole.epem023,CASENT0199495,Pheidole_epem023_CASENT0199495
PH571,Pheidole.dea,CASENT0283446,Pheidole_dea_CASENT0283446
PH572,Pheidole.tz03,CASENT0282712,Pheidole_tz03_CASENT0282712
PH573,Pheidole.liengmei,CASENT0283068,Pheidole_liengmei_CASENT0283068
PH575,Pheidole.punctulata,CASENT0283066,Pheidole_punctulata_CASENT0283066
PH576,Pheidole.ug01,CASENT0283158,Pheidole_ug01_CASENT0283158
PH578,Pheidole.ke01,CASENT0283278,Pheidole_ke01_CASENT0283278
PH579,Pheidole.concinna,CASENT0283318,Pheidole_concinna_CASENT0283318
PH581,Pheidole.ke08,CASENT0283275,Pheidole_ke08_CASENT0283275
PH582,Pheidole.tz02,CASENT0282918,Pheidole_tz02_CASENT0282918
PH583,Pheidole.kohli,CASENT0283064,Pheidole_kohli_CASENT0283064
PH584,Pheidole.nigeriensis,CASENT0283555,Pheidole_nigeriensis_CASENT0283555
PH589,Pheidole.ceres,CASENT0283149,Pheidole_ceres_CASENT0283149
PH59,Pheidole.sericella,CASENT0282497,Pheidole_sericella_CASENT0282497
PH591,Pheidole.bicarinata,CASENT0283402,Pheidole_bicarinata_CASENT0283402
PH592,Pheidole.perpilosa,CASENT0283508,Pheidole_perpilosa_CASENT0283508
PH593,Pheidole.militicida,CASENT0283148,Pheidole_militicida_CASENT0283148
PH595,Pheidole.vallicola,CASENT0283063,Pheidole_vallicola_CASENT0283063
PH597,Pheidole.epem191,CASENT0283062,Pheidole_epem191_CASENT0283062
PH599,Pheidole.fimbriata,CASENT0283061,Pheidole_fimbriata_CASENT0283061
PH60,Pheidole.epem113,CASENT0219468,Pheidole_epem113_CASENT0219468
PH601,Pheidole.fissiceps,CASENT0283448,Pheidole_fissiceps_CASENT0283448
PH602,Pheidole.amazonica,CASENT0283449,Pheidole_amazonica_CASENT0283449
PH603,Pheidole.allarmata,CASENT0283450,Pheidole_allarmata_CASENT0283450
PH604,Cephalotes.setulifer,CASENT0283451,Cephalotes_setulifer_CASENT0283451
PH605,Pheidole.rhea,CASENT0283452,Pheidole_rhea_CASENT0283452
PH607,Pheidole.tysoni,CASENT0283454,Pheidole_tysoni_CASENT0283454
PH608,Pheidole.vulgaris,CASENT0283455,Pheidole_vulgaris_CASENT0283455
PH610,Pheidole.epem174,CASENT0283868,Pheidole_epem174_CASENT0283868
PH612,Pheidole.epem061,CASENT0283461,Pheidole_epem061_CASENT0283461
PH614,Pheidole.epem130,CASENT0283464,Pheidole_epem130_CASENT0283464
PH615,Pheidole.epem132,CASENT0283465,Pheidole_epem132_CASENT0283465
PH617,Pheidole.epem198,CASENT0283516,Pheidole_epem198_CASENT0283516
PH619,Pheidole.gf086,CASENT0283317,Pheidole_gf086_CASENT0283317
PH62,Pheidole.epem128,CASENT0262500,Pheidole_epem128_CASENT0262500
PH620,Pheidole.epem197,CASENT0283517,Pheidole_epem197_CASENT0283517
PH622,Pheidole.emsm106,CASENT0283509,Pheidole_emsm106_CASENT0283509
PH623,Pheidole.epem199,CASENT0283358,Pheidole_epem199_CASENT0283358
PH624,Pheidole.gf058,CASENT0716882,Pheidole_gf058_CASENT0716882
PH625,Pheidole.gf061,CASENT0716873,Pheidole_gf061_CASENT0716873
PH636,Pheidole.gf052,CASENT0716856,Pheidole_gf052_CASENT0716856
PH638,Pheidole.gf053,CASENT0717555,Pheidole_gf053_CASENT0717555
PH64,Pheidole.sauberi,CASENT0282502,Pheidole_sauberi_CASENT0282502
PH65,Pheidole.epem050,CASENT0282503,Pheidole_epem050_CASENT0282503
PH662,Pheidole.gf076,CASENT0716867,Pheidole_gf076_CASENT0716867
PH667,Pheidole.sexdentata,CASENT0716140,Pheidole_sexdentata_CASENT0716140
PH67,Pheidole.epem031,CASENT0282504,Pheidole_epem031_CASENT0282504
PH68,Pheidole.epem038,CASENT0199528,Pheidole_epem038_CASENT0199528
PH680,Pheidole.gf051,CASENT0716869,Pheidole_gf051_CASENT0716869
PH687,Pheidole.gf060,CASENT0716889,Pheidole_gf060_CASENT0716889
PH69,Pheidole.hospes,CASENT0199539,Pheidole_hospes_CASENT0199539
PH7,Pheidole.epem019,CASENT0283778,Pheidole_epem019_CASENT0283778
PH70,Pheidole.epem055,CASENT0199533,Pheidole_epem055_CASENT0199533
PH710,Pheidole.gf032,CASENT0717252,Pheidole_gf032_CASENT0717252
PH711,Pheidole.aristotelis,CASENT0717253,Pheidole_aristotelis_CASENT0717253
PH712,Pheidole.gf075,CASENT0717254,Pheidole_gf075_CASENT0717254
PH713,Pheidole.navigans,CASENT0717255,Pheidole_navigans_CASENT0717255
PH714,Pheidole.gf040,CASENT0717256,Pheidole_gf040_CASENT0717256
PH715,Pheidole.gf031,CASENT0717257,Pheidole_gf031_CASENT0717257
PH716,Pheidole.gf020,CASENT0717258,Pheidole_gf020_CASENT0717258
PH721,Pheidole.minuscula,CASENT0717263,Pheidole_minuscula_CASENT0717263
PH725,Pheidole.gf036,CASENT0717267,Pheidole_gf036_CASENT0717267
PH726,Pheidole.cariniceps,CASENT0717268,Pheidole_cariniceps_CASENT0717268
PH732,Pheidole.gf034,CASENT0717274,Pheidole_gf034_CASENT0717274
PH733,Pheidole.gf077,CASENT0717275,Pheidole_gf077_CASENT0717275
PH734,Pheidole.gf024,CASENT0717276,Pheidole_gf024_CASENT0717276
PH740,Pheidole.gouldi,CASENT0717282,Pheidole_gouldi_CASENT0717282
PH742,Pheidole.gf042,CASENT0717284,Pheidole_gf042_CASENT0717284
