Family,genus,species
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 quetzal
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 robustus
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 samoanus
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 silvestrii
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 striatus
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 tristani
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 vaderi
Formicidae,TACTTMPAdetomyrma_Malagasy01,TACTTMPAdetomyrma Malagasy01 venatrix
Formicidae,TACTTMPAdetomyrma_Malagasy02,TACTTMPAdetomyrma Malagasy02 aureocuprea
Formicidae,TACTTMPAdetomyrma_Malagasy03,TACTTMPAdetomyrma Malagasy03 caudapinniger
Formicidae,TACTTMPAdetomyrma_Malagasy03,TACTTMPAdetomyrma Malagasy03 clarivida
Formicidae,TACTTMPAdetomyrma_Malagasy04,TACTTMPAdetomyrma Malagasy04 cilium
Formicidae,TACTTMPAdetomyrma_Malagasy05,TACTTMPAdetomyrma Malagasy05 caputleae
Formicidae,TACTTMPAdetomyrma_Malagasy06,TACTTMPAdetomyrma Malagasy06 cassis
Formicidae,TACTTMPAdetomyrma_Malagasy07,TACTTMPAdetomyrma Malagasy07 bressleri
Formicidae,TACTTMPAdetomyrma_Malagasy08,TACTTMPAdetomyrma Malagasy08 goblin
Formicidae,TACTTMPAenictogiton_Unknown01,TACTTMPAenictogiton Unknown01 elongatus
Formicidae,TACTTMPAenictogiton_Unknown01,TACTTMPAenictogiton Unknown01 schoutedeni
Formicidae,TACTTMPAenictogiton_Unknown01,TACTTMPAenictogiton Unknown01 ZM02
Formicidae,TACTTMPAenictogiton_Unknown02,TACTTMPAenictogiton Unknown02 attenuatus
Formicidae,TACTTMPAenictogiton_Unknown02,TACTTMPAenictogiton Unknown02 bequaerti
Formicidae,TACTTMPAenictogiton_Unknown02,TACTTMPAenictogiton Unknown02 emeryi
Formicidae,TACTTMPAenictogiton_Unknown02,TACTTMPAenictogiton Unknown02 fossiceps
Formicidae,TACTTMPAenictogiton_Unknown02,TACTTMPAenictogiton Unknown02 sulcatus
Formicidae,TACTTMPAenictogiton_Unknown02,TACTTMPAenictogiton Unknown02 UG
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 alluaudi
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 asperivalvus
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 brutus
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 congolensis
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 crucifer
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 foreli
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 furculatus
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 guineensis
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 inconspicuus
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 jacki
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 luteus
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 mentu
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 nyuyi
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 raptor
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 rixator
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 rotundatus
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 soudanicus
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 ugaduwensis
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 villiersi
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 xegi
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 anceps
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 asantei
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 bayoni
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 boltoni
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 bottegoi
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 buttgenbachi
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 eugenii
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 fuscovarius
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 hamifer
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 hitai
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 humeralis
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 koloi
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 mariae
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 moebii
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 mutatus
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 mvuvii
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 pharao
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 popeyei
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 steindachneri
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 susanae
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 togoensis
