taxon,birth,death,ccp,source
TACTTMPAnochetus_Palearctic02,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAnochetus_Palearctic03,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAnochetus_Palearctic10,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAnochetus_Palearctic51,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAnochetus_Unknown30,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAnonychomyrma_Australasian01,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAnonychomyrma_Australasian02,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAnonychomyrma_Australasian03,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAnoplolepis_Afrotropical02,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAnoplolepis_Afrotropical03,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAnoplolepis_Indomalayan01,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAphaenogaster_Australasian01,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAphaenogaster_Australasian02,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAphaenogaster_Australasian04,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAphaenogaster_Australasian06,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAphaenogaster_Indomalayan07,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAphaenogaster_Malagasy03,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAphaenogaster_Malagasy05,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAphaenogaster_Malagasy08,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAphaenogaster_Malagasy09,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAphaenogaster_Malagasy10,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAphaenogaster_Nearctic18,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAphaenogaster_Nearctic19,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAphaenogaster_Nearctic21,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAphaenogaster_Nearctic22,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAphaenogaster_Nearctic24,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAphaenogaster_Nearctic25,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAphaenogaster_Nearctic26,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAphaenogaster_Nearctic28,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAphaenogaster_Nearctic29,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
TACTTMPAphaenogaster_Nearctic30,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
TACTTMPAphaenogaster_Nearctic31,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAphaenogaster_Nearctic32,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAphaenogaster_Nearctic34,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAphaenogaster_Nearctic35,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAphaenogaster_Nearctic36,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAphaenogaster_Nearctic37,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAphaenogaster_Nearctic38,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
TACTTMPAphaenogaster_Nearctic39,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAphaenogaster_Neotropical11,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAphaenogaster_Neotropical12,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAphaenogaster_Neotropical13,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAphaenogaster_Neotropical23,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAphaenogaster_Neotropical27,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAphaenogaster_Neotropical33,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAphaenogaster_Palearctic14,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAphaenogaster_Palearctic15,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAphaenogaster_Palearctic16,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAphaenogaster_Palearctic17,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAphaenogaster_Palearctic20,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAphaenogaster_Palearctic40,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAphaenogaster_Palearctic41,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAphaenogaster_Palearctic42,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAphaenogaster_Palearctic43,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAphaenogaster_Palearctic44,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAphaenogaster_Palearctic45,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPApterostigma_Neotropical01,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPApterostigma_Neotropical02,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPApterostigma_Neotropical03,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPApterostigma_Neotropical04,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPApterostigma_Neotropical05,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPApterostigma_Neotropical06,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
TACTTMPApterostigma_Neotropical07,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPApterostigma_Neotropical08,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
