Extraction Code	Taxon	Specimen Code
RA0460	Pheidole.cavigenis	CASENT0283294
RA0461	Pheidole.cockerelli	CASENT0283295
RA0462	Pheidole.senex	CASENT0283296
RA0467	Pheidole.micula	CASENT0283299
RA0471	Pheidole.diversipilosa	CASENT0283301
RA0496	Pheidole.morrisii	CASENT0283306
RA0497	Pheidole.davisi	CASENT0339720
RA0520	Pheidole.emsm105	CASENT0339723
RA0524	Pheidole.metallescens	CASENT0339724
RA0525	Pheidole.pelor	CASENT0339725
RA0526	Pheidole.titanis	CASENT0339726
RA0527	Pheidole.juniperae	CASENT0339727
RA0528	Pheidole.hoplitica	CASENT0339728
RA0557	Pheidole.emsm174	CASENT0339732
RA0558	Pheidole.emsm175	CASENT0339733
RA0559	Pheidole.emsm177	CASENT0339734
RA0563	Pheidole.speculifera	CASENT0339736
RA0569	Pheidole.harlequina	CASENT0339740
RA0570	Pheidole.constipata	CASENT0339741
RA0573	Pheidole.psammophila	CASENT0339744
RA0576	Pheidole.clementensis	CASENT0339747
RA0577	Pheidole.portalensis	CASENT0339748
RA0578	Pheidole.macrops	CASENT0339749
RA0579	Pheidole.yaqui	CASENT0339750
RA0580	Pheidole.sciara	CASENT0339751
RA0606	Pheidole.inquilina	CASENT0339753
RA0641	Pheidole.obtusospinosa	CASENT0339757
RA0709	Pheidole.carrolli	CASENT0339759
RA0710	Pheidole.littoralis	CASENT0339760
