pass	genus	action	reason	tip	tip_genus	core_node
45	Carebara	drop_tip	minimal removal (kept 16 of Carebara; core node 5399)	Carebara_tanana	Carebara	5399
45	Carebara	drop_tip	minimal removal (kept 16 of Carebara; core node 5399)	Carebara_dota	Carebara	5399
45	Carebara	drop_tip	minimal removal (kept 16 of Carebara; core node 5399)	Carebara_hainteny	Carebara	5399
45	Carebara	drop_tip	minimal removal (kept 16 of Carebara; core node 5399)	Carebara_demeter	Carebara	5399
45	Carebara	drop_tip	minimal removal (kept 16 of Carebara; core node 5399)	Carebara_betsi	Carebara	5399
45	Carebara	drop_tip	minimal removal (kept 16 of Carebara; core node 5399)	Carebara_placida	Carebara	5399
45	Carebara	drop_tip	minimal removal (kept 16 of Carebara; core node 5399)	Carebara_hiragasy	Carebara	5399
45	Carebara	drop_tip	minimal removal (kept 16 of Carebara; core node 5399)	Carebara_tana	Carebara	5399
45	Carebara	drop_tip	minimal removal (kept 16 of Carebara; core node 5399)	Carebara_berivelo	Carebara	5399
45	Carebara	drop_tip	minimal removal (kept 16 of Carebara; core node 5399)	Carebara_bara	Carebara	5399
45	Carebara	drop_tip	minimal removal (kept 16 of Carebara; core node 5399)	Carebara_grandidieri	Carebara	5399
46	Lasius	drop_tip	minimal removal (kept 13 of Lasius; core node 7080)	Lasius_lasioides	Lasius	7080
46	Lasius	drop_tip	minimal removal (kept 13 of Lasius; core node 7080)	Lasius_brunneus	Lasius	7080
46	Lasius	drop_tip	minimal removal (kept 13 of Lasius; core node 7080)	Lasius_turcicus	Lasius	7080
46	Lasius	drop_tip	minimal removal (kept 13 of Lasius; core node 7080)	Lasius_niger	Lasius	7080
46	Lasius	drop_tip	minimal removal (kept 13 of Lasius; core node 7080)	Lasius_americanus	Lasius	7080
46	Lasius	drop_tip	minimal removal (kept 13 of Lasius; core node 7080)	Lasius_psammophilus	Lasius	7080
46	Lasius	drop_tip	minimal removal (kept 13 of Lasius; core node 7080)	Lasius_platythorax	Lasius	7080
46	Lasius	drop_tip	minimal removal (kept 13 of Lasius; core node 7080)	Lasius_emarginatus	Lasius	7080
46	Lasius	drop_tip	minimal removal (kept 13 of Lasius; core node 7080)	Lasius_alienus	Lasius	7080
46	Lasius	drop_tip	minimal removal (kept 13 of Lasius; core node 7080)	Lasius_grandis	Lasius	7080
46	Lasius	drop_tip	minimal removal (kept 13 of Lasius; core node 7080)	Lasius_cinereus	Lasius	7080
46	Lasius	drop_tip	minimal removal (kept 13 of Lasius; core node 7080)	Lasius_spathepus	Lasius	7080
46	Lasius	drop_tip	minimal removal (kept 13 of Lasius; core node 7080)	Lasius_fuliginosus	Lasius	7080
46	Lasius	drop_tip	minimal removal (kept 13 of Lasius; core node 7080)	Lasius_neoniger	Lasius	7080
47	Nylanderia	drop_tip	minimal removal (kept 43 of Nylanderia; core node 6998)	Nylanderia_gracilis	Nylanderia	6998
48	Camponotus	drop_tip	minimal removal (kept 209 of Camponotus; core node 6317)	Camponotus_floridanus	Camponotus	6317
