taxon,birth,death,ccp,source
Gesomyrmex,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
Gigantiops,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Gnamptogenys,0.09759223284760786,0.0,0.946236559139785,computed
Gracilidris,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Hagensia,0.44638922694031546,0.3651456680463725,1.0,from Formicidae (cherry)
Harpagoxenus,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
Harpegnathos,0.44638922694031546,0.3651456680463725,0.41666666666666663,from Formicidae (crown capture probability)
Heteroponera,0.3259352553652713,0.31807828966714174,0.9230769230769231,computed
Holcoponera,0.20580048576797413,0.1495086308108866,0.9406207827260459,computed
Huberia,0.44638922694031546,0.3651456680463725,1.0,from Formicidae (cherry)
Hylomyrma,0.22295780030540976,0.0,0.8314176245210728,computed
Hypoponera,0.24564493674111468,0.019963154724360974,0.9731815306767868,computed
Iberoformica,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Igaponera,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
Indomyrma,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
Iridomyrmex,0.44638922694031546,0.3651456680463725,0.6153846153846154,from Formicidae (crown capture probability)
Ishakidris,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
Kalathomyrmex,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Kartidris,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
Kempfidris,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Labidus,0.44638922694031546,0.3651456680463725,0.6428571428571428,from Formicidae (crown capture probability)
Lachnomyrmex,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
Lasiomyrma,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
Lasiophanes,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
Lathidris,0.06928634479873888,0.06928395040447775,1.0,computed
Lenomyrmex,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
Lepisiota,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
Leptanilla,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
Leptanilloides,0.07191349843867696,0.0,0.8888888888888888,computed
Leptogenys,0.19294929046644818,0.0,0.9937888198757764,computed
Leptomyrmex,0.06635034701275294,0.0,0.9881481481481481,computed
Linepithema,0.08416805721221504,0.0,0.9663865546218487,computed
Liometopum,0.44638922694031546,0.3651456680463725,0.6666666666666667,from Formicidae (crown capture probability)
Liomyrmex,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Lioponera,0.25180348189575136,0.08619528324625049,0.8555555555555556,computed
Lividopone,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
Loboponera,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
Lophomyrmex,0.44638922694031546,0.3651456680463725,0.5833333333333333,from Formicidae (crown capture probability)
Loweriella,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Makebapone,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
