Subfamily	MRCA	Grafted_species	Phylogeny_pub	Phylogeny_data_source	Input_tree_type	Stem_mode	Phylogeny_file_path	Notes	Original_Tree
	Atta_texana,Amoimyrmex_striatus	NA	Barrera et al 2021	UCEs	chronogram	outgroup	project/published/atta/barrera2021/extract_mrca_Amoimyrmex_silvestrii_3851_PR-Atta_opaciceps_10720_BR-BA_20260530-142641_with_outgroup.tre	https://doi.org/10.1093/isd/ixab029	
	Myrmicocrypta_tuberculata,Myrmicocrypta_ednaella	NA	Sosa-Calvo et al 2018	Multilocus	chronogram	crown	project/published/myrmicocrypta/sosa-calvo2018/extract_mrca_Myrmicocrypta_JSC048_1214-Myrmicocrypta_tuberculata_1278_20260429-200139_with_outgroup.tre	https://doi.org/10.1111/syen.12313	
		NA							
	Brachymyrmex	NA	Probst et al 2024	UCEs	chronogram	outgroup	project/published/brachymyrmex/probst2024/extract_mrca_Brachymyrmex_heeri_EXRP182-Brachymyrmex_admotus_EXRP163_20260411-120339_with_outgroup.tre		
	Myrmelachista	NA	Probst et al 2024	UCEs	chronogram	outgroup	project/published/myrmelachista/probst2024/extract_mrca_Myrmelachista_hoffmanni_EXRP103-Myrmelachista_lauropacifica_EXRP74_20260411-120339_with_outgroup.tre		
		NA							
	Proformica?	NA							
	Cataglyphis,Rossomyrmex	NA	Pletincx et al 2024	UCEs	chronogram	outgroup	project/published/cataglyphis/pletincx2024/extract_mrca_Rossomyrmex_minuchae-Cataglyphis_rosenhaueri_20260418-152208_with_outgroup.tre	https://doi.org/10.1111/jzs.12184; chronogram created but not posted on Dryad	
		NA							
	Basiceros	NA	Probst et al 2019	Multilocus	phylogram	outgroup	project/published/basiceros/probst2019/extract_mrca_Basiceros_convexiceps_BCOBA1-Basiceros_disciger_BDISP10_20260413-133141_with_outgroup.tre		
		NA						https://doi.org/10.1093/isd/ixz013; trees not on dryad	
	Nelsen2023 taxa:	NA							
	Amblyopone,Myopopone	NA	Nelsen et al 2023	Multilocus	chronogram	outgroup	project/published/formicidae/nelsen2023/extract_mrca_Onychomyrmex_hedleyi-Mystrium_mirror_20260411-115038_with_outgroup.tre		
	Aptinoma	NA	Nelsen et al 2023	Multilocus	chronogram	outgroup	project/published/formicidae/nelsen2023/extracted_genera/Aptinoma/extract_Aptinoma_20260411-115327_with_outgroup.tre		
	Liometopum	NA	Nelsen et al 2023	Multilocus	chronogram	outgroup	project/published/formicidae/nelsen2023/extracted_genera/Liometopum/extract_Liometopum_20260411-115328_with_outgroup.tre		
	Bothriomyrmex	NA	Nelsen et al 2023	Multilocus	chronogram	outgroup	project/published/formicidae/nelsen2023/extracted_genera/Bothriomyrmex/extract_Bothriomyrmex_20260411-115328_with_outgroup.tre		
	Dolichoderus	NA	Nelsen et al 2023	Multilocus	chronogram	outgroup	project/published/formicidae/nelsen2023/extracted_genera/Dolichoderus/extract_Dolichoderus_20260411-115328_with_outgroup.tre		
	Azteca	NA	Nelsen et al 2023	Multilocus	chronogram	outgroup	project/published/formicidae/nelsen2023/extracted_genera/Azteca/extract_Azteca_20260411-115328_with_outgroup.tre		
	Leptomyrmex_garretti,Leptomyrmex_puberulus	NA	Nelsen et al 2023	Multilocus	chronogram	outgroup	project/published/formicidae/nelsen2023/extracted_genera/Leptomyrmex/extract_Leptomyrmex_20260411-115328_with_outgroup.tre	Graft interior of relictus	
