Subfamily	Genus	Species_subspecies_no	Species_no	Grafted_species	Phylogeny_pub	Phylogeny_data_source	Phylogeny_file_path	Notes
Dorylinae	Parasyscia	57	57		Borowiec 2019			Only two named species, not worth it
Myrmicinae	Paratopula	12	12					
Myrmicinae	Paratrachymyrmex	9	9					
Formicinae	Paratrechina	5	5					
Ponerinae	Parvaponera	7	5					
Myrmicinae	Patagonomyrmex	3	3					
Myrmicinae	Perissomyrmex	6	6					
Myrmicinae	Peronomyrmex	3	3					
Formicinae	Petalomyrmex	1	1					
Myrmicinae	Phalacromyrmex	1	1					
Myrmicinae	Pheidole	1298	1174		Economo et al 2019	Multilocus	genus_studies/pheidole/economo2019/Pheidole_with_outgroup.tre	Available
Dolichoderinae	Philidris	16	9					
Ponerinae	Phrynoponera	5	5					
Myrmicinae	Pilotrochus	1	1					
Formicinae	Plagiolepis	79	66					
Ponerinae	Platythyrea	40	40		Dore et al 2025			
Ponerinae	Plectroctena	16	16					
Myrmicinae	Podomyrma	62	52					
Myrmicinae	Poecilomyrma	2	2					
Myrmicinae	Pogonomyrmex	95	93		Graber et al 2025	UCEs		
Formicinae	Polyergus	15	15					
Formicinae	Polyrhachis	793	711		Mezger and Moreau 2016	Multilocus	genus_studies/polyrhachis/mezger2016/Polyrhachis_with_outgroup.tre	Not available, received by email
Ponerinae	Ponera	62	62					
Ectatomminae	Poneracantha	17	17		Camacho et al 2022	UCEs	genus_studies/poneracantha/camacho2022/Poneracantha_with_outgroup.tre	Available
Formicinae	Prenolepis	21	21					
Amblyoponinae	Prionopelta	25	25					
Myrmicinae	Pristomyrmex	61	61					
Myrmicinae	Proatta	1	1					
Proceratiinae	Probolomyrmex	30	30					
Proceratiinae	Proceratium	87	87					
Myrmicinae	Procryptocerus	44	44					
Formicinae	Proformica	33	31		Sanllorente et al 2018			
Formicinae	Prolasius	19	19					
Ponerinae	Promyopias	1	1					
Myrmicinae	Propodilobus	1	1					
Myrmicinae	Protalaridris	7	7					
Leptanillinae	Protanilla	21	21					
Ponerinae	Psalidomyrmex	6	6					
Myrmicinae	Pseudoatta	2	1					
Formicinae	Pseudolasius	66	49					
Pseudomyrmecinae	Pseudomyrmex	155	147		Chomicki et al 2015	Multilocus	genus_studies/pseudomyrmex/chomicki2015/Pseudomyrmex_with_outgroup.tre	
Ponerinae	Pseudoneoponera	29	19					
Formicinae	Pseudonotoncus	2	2					
Ponerinae	Pseudoponera	6	6					
Ponerinae	Rasopone	15	15					
Dolichoderinae	Ravavy	1	1					
Myrmicinae	Recurvidris	12	12					
Formicinae	Retalimyrma	1	1					
Myrmicinae	Rhopalomastix	14	14					
Myrmicinae	Rhopalothrix	19	19					
Ectatomminae	Rhytidoponera	104	104		Camacho et al 2022	UCEs	genus_studies/rhytidoponera/camacho2022/Rhytidoponera_with_outgroup.tre	
Myrmicinae	Rogeria	40	40					
Myrmicinae	Romblonella	10	10					
Formicinae	Rossomyrmex	4	4					
Myrmicinae	Rostromyrmex	1	1					
Myrmicinae	Rotastruma	3	3					
Myrmicinae	Royidris	15	15					
Formicinae	Santschiella	1	1					
Myrmicinae	Secostruma	1	1					
Myrmicinae	Sericomyrmex	11	11		Ješovnik et al 2017			
Ponerinae	Simopelta	22	22					
Dorylinae	Simopone	40	40		Borowiec 2019			
Myrmicinae	Solenopsis	215	194		Gotzek 2020			
Dorylinae	Sphinctomyrmex	3	3					
Ponerinae	Sritoponera	1	1					
Myrmicinae	Stegomyrmex	5	5					
Myrmicinae	Stenamma	85	85		Branstetter et al 2022		genus_studies/stenamma/branstetter2022/Stenamma_with_outgroup.tre	Available
Myrmicinae	Stereomyrmex	3	3					
Ectatomminae	Stictoponera	43	43		Camacho et al 2022	UCEs	genus_studies/stictoponera/camacho2022/Stictoponera_with_outgroup.tre	Available
Formicinae	Stigmacros	39	39					
Amblyoponinae	Stigmatomma	55	55					
Ponerinae	Streblognathus	2	2					
Myrmicinae	Strongylognathus	27	26					
Myrmicinae	Strumigenys	882	882		Booher et al 2021	RAD-seq	genus_studies/strumigenys/booher2021/Strumigenys_with_outgroup.tre	Available, some processing needed
Ponerinae	Subiridopone	1	1					
Myrmicinae	Syllophopsis	25	24					
Dorylinae	Syscia	45	45		Borowiec 2019			
Myrmicinae	Talaridris	1	1					
Dorylinae	Tanipone	10	10					
Formicinae	Tapinolepis	18	14					
Dolichoderinae	Tapinoma	102	82					
Agroecomyrmecinae	Tatuidris	1	1					
Dolichoderinae	Technomyrmex	97	97					
Myrmicinae	Temnothorax	540	507		Prebus 2017	Multilocus	genus_studies/temnothorax/prebus2017/Temnothorax_with_outgroup.tre	Not available, received by email
Myrmicinae	Terataner	14	14					
Formicinae	Teratomyrmex	3	3					
Myrmicinae	Tetheamyrma	2	2					
Myrmicinae	Tetramorium	604	594					
